id,bottle_id,event_type,quantity_change,purchase_price,purchase_source,notes,event_date,user_id
6c220abb-6a87-434a-957d-30d5fd3d7d53,4dd0db44-fa05-4244-ad86-85ea35733ada,added,1,,,,2025-12-27 03:48:49.659537+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
6d605d7c-98d8-4161-86cf-b6654d793b9b,67e48ebb-2250-402e-9ee1-f34df672b5e1,added,1,,,,2025-12-27 03:23:45.335008+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
6dbb4943-2d46-4e96-8ae2-871247ffbdf7,509830e6-036a-41b9-b3dc-7fd2123b7fd6,added,1,,,,2025-12-27 03:48:04.849384+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
6f9d3810-03e4-48c6-a665-d371ae169f15,07d8d80c-b8f6-4cd5-9dd1-7a99deb96cfe,added,1,,,,2025-12-27 03:51:33.129118+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
7a48f4ff-6916-420a-8715-9d2ee8e91904,9337bf30-06ec-4866-9da8-addd7ecee31f,added,1,,,,2025-12-27 03:53:06.24657+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
7aae267e-a814-44a6-a0cf-cc756c6884ed,6775fec4-2830-4828-8583-e2f49715780a,added,1,,,,2025-12-27 03:50:01.550046+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
7c01d1d0-afdc-4165-a8e8-d6bdf793e75c,4ca8a0e9-8390-4718-b821-65a23b55bd71,added,1,,,,2025-12-27 03:28:35.427345+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
7d79f1c3-aaf4-4e1f-b6d9-1b1ffc15ba70,28949c55-08e1-4a13-90e8-250641e3b61f,added,1,,,,2025-12-27 03:45:31.496387+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
7e2bf396-9618-42c4-9440-18196cf3e70d,bd6e11cb-dd34-4e7e-acdf-b8e818f934af,added,2,,,,2025-12-27 00:28:05.199464+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
7e6bb2ed-411a-4c4b-b7eb-b8487722c882,97266479-7c89-4b69-8f96-56fe33d9fc98,finished,-1,,,,2025-12-27 04:00:53.591626+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
85872bc2-b292-48b2-b58d-9d74e76241e1,bd6e11cb-dd34-4e7e-acdf-b8e818f934af,finished,-1,,,,2025-12-27 00:23:06.382617+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
89b9cf35-c902-49fc-960c-09f66fbda0a7,59cce0c4-9891-4f55-85c3-fe80f0c37fcf,added,1,,,,2025-12-27 03:19:43.618806+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
8b364927-92ca-4e03-980e-876393b83338,7b268c9a-2ca4-4156-867b-c0989a9bd5af,added,1,,,,2025-12-27 03:34:39.32801+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
902a4d59-1f13-4dbd-ba30-40b716dc5edd,5403a129-0a18-4610-b6bb-dd8532095b62,added,1,,,,2025-12-27 03:50:36.278757+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
9b2666bf-19f0-41bb-b9d5-4d8c580ec613,97266479-7c89-4b69-8f96-56fe33d9fc98,added,1,,,,2025-12-27 03:58:36.472957+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
ae6adabb-ec2c-4877-9c4c-7739bda7e0e9,38d3fdb2-e8f1-4b68-b3e3-e279ee6d0635,added,1,,,,2025-12-26 23:39:22.596451+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
b00e5d86-cd78-40bf-9fc2-28b6be2f5938,f4f3bb2f-00d0-497a-bb24-97c12f97d4ca,added,1,,,,2025-12-27 03:35:18.227214+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
b0b9a38d-b818-4d47-9dc6-178abf2b0d2b,6a44ea33-be3a-4eef-875a-db1a7608d742,added,1,,,,2025-12-27 03:16:49.709466+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
b0f55ce9-d916-4c47-a26e-a8dd407d9192,4fde3df8-08d6-4cab-b32b-0129b9bb4d5a,added,1,,,,2025-12-27 03:23:14.616367+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
b2575b3c-a4a8-4a43-b413-069961222d4a,727d4465-a04c-4434-bdef-cc4a45dfb83a,added,1,,,,2025-12-27 03:20:22.490981+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
b8ddfaeb-c133-428a-b26c-e56eb4cefaeb,65867b8b-d779-40ee-96fa-11fca3a4283e,added,1,,,,2025-12-27 03:46:32.930536+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
b9c5699e-9ac6-4623-883e-4334d019f532,48bbea97-eac1-42a3-80d9-392361bbb2cb,added,1,,,,2025-12-27 00:05:30.3565+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
c41332cb-f9d8-4e05-9bf5-835548e64b93,95314532-a349-4bcd-8a00-ef9cfc0c897d,added,1,,,,2025-12-26 23:40:12.673821+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
c7b24b15-13f4-49ce-b66c-29c04500ff4a,02f6cb2b-02f6-47d1-a6f7-5823fbd60d40,added,1,,,,2026-01-01 02:25:27.670747+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
c95632a9-65bb-4e5b-b397-3ebf869c92c7,bd6e11cb-dd34-4e7e-acdf-b8e818f934af,finished,-1,,,,2025-12-27 04:01:30.530008+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
cf8a1fd8-ec93-4cb9-9329-2b3e301d0002,0ee7ff5a-1aed-47e6-9ff8-e6d637efd633,added,1,,,,2025-12-27 03:47:02.752739+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
d5e5e317-22e1-476d-9597-5e00cb9e4b28,a7186cc2-2ddc-45b9-80af-210949cdd587,added,1,,,,2025-12-27 03:56:33.823959+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
d71823bd-1247-4035-abf6-f210e713685e,4bc5c986-56e8-4b20-a3a2-68bd8a385401,added,1,,,,2025-12-27 03:43:27.852825+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
